A/S Nørresundby Bank,12.75,12.1,12.5,12.7,13.2,11.6,12.9,13.3,15.1,15.2,15,17.7,17.7,19,20,,,,,
Aarhus Lokalbank Aktieselskab,12.53,11.8,11.3,12.9,11.3,12.5,10.9,12.1,13,20.4,7,15.4,,,,,,,,
Aars Bank A/S,10.4,,,,,,,,,,,,,,,,,,,
Agri-Egens Sparekasse,20.4,16.1,14.1,17.6,21.1,22,19.9,16.6,16.9,15.7,,,,,,,,,,
Aktieselskabet Arbejdernes Landsbank,11.8,12.2,13.1,13.6,13.5,12.6,12.2,12,11.9,12.8,13,13.3,14.6,14.9,15.6,13.3,16.97,18.12,19.87,19.59
"Alfred Berg SE, Copenhagen Branch",58.2,94.34,110.6,107.3,100.3,,,,,,,,,,,,,,,
Alm. Brand Bank A/S,10.81,9.6,11.5,12,10.2,10.3,9.8,10,9.1,14.7,17.9,16.8,19.4,20.3,19.3,18.6,19.3,23.8,21.6,21.5
Almind Sparekasse,19.8,18.8,17.9,16.4,15.6,16.1,,,,,,,,,,,,,,
Amagerbanken,10.4,12,12.5,14.5,14.8,12.2,12.6,12.5,10.1,17.2,-4.1,,,,,,,,,
Andelskassen Fælleskassen,12.6,12,13.6,15.5,16.6,17.4,16.4,15,15.9,16.2,15.6,18,20.1,22.5,24.9,24.5,23.8,22.15,20.57,32.81
Andelskassen OIKOS,44.9,41.4,36.2,34.7,23.5,19.22,19.83,15.51,16.06,16.86,13.3,15.29,15.51,13.71,13.13,14.4,12.79,0,14.42,
Århus Andelskasse,10.8,11.7,11.2,11.4,7.4,,,,,,,,,,,,,,,
ArosMaizels Investment Bank A/S,540.7,,,,,,,,,,,,,,,,,,,
"Arts Herred, Sparekassen for",21.18,22.1,22.7,23.4,24.9,15.6,15.2,18.1,14,18.6,15.4,10.2,,,,,,,,
Astrup-Tulstrup-Hvilsted Sparekasse,51.1,51.3,54.2,51.5,66.1,53.8,97.6,,,,,,,,,,,,,
Bank DNB  A/S,,,,,,,38.09,20.68,25.08,41,47.62,132.34,,,,,,,,
Bank Trelleborg A/S,16.3,16,16.7,14.8,14.7,13.2,13.3,10.4,,,,,,,,,,,,
Basisbank A/S,16.9,16.4,12.4,9.4,11.3,14.4,13.6,12,10.4,16.2,14.5,12.7,8.3,9.4,9.6,17.3,16.9,17.6,18.11,22.53
BG Bank A/S,10.9,,,,,,,,,,,,,,,,,,,
Boddum-Ydby Sparekasse,27.7,26.7,27.7,25.7,25.3,26.4,27.8,28.2,27.1,25.2,21.3,21.7,,,,,,,,
Bonusbanken A/S,22.57,19,16.7,15.6,11.8,15.1,15.5,15,,,,,,,,,,,,
Borbjerg Sparekasse,20.8,21.9,24.4,20.8,21.2,22.5,22.4,20.9,27.9,29.3,28.5,28.9,22.7,24.5,27.6,27.9,27.9,27.5,25.93,27.09
"Brenderup, J.A.K. Andelskassen",26.3,26.9,27.5,23.4,28.3,28.2,30.4,33.6,37.52,,,,,,,,,,,
BRFkredit Bank a/s,14.8,9.8,15,15,14.2,12.8,14.1,14.2,17,14.3,17.9,23.3,24.3,24.1,20.2,,,,,
