A/S Nørresundby Bank,0.59,0.60,0.50,0.60,0.30,0.00,-0.30,0.00,0.90,1.70,1.20,0.90,1.30,0.80,0.30,,,,,
Aarhus Lokalbank Aktieselskab,0.44,0.40,0.40,0.50,0.30,-0.20,-0.10,0.00,0.50,0.70,5.50,3.60,,,,,,,,
Aars Bank A/S,3.70,,,,,,,,,,,,,,,,,,,
Agri-Egens Sparekasse,1.10,3.70,2.00,8.00,0.80,-1.60,-1.50,-0.40,0.20,0.40,,,,,,,,,,
Aktieselskabet Arbejdernes Landsbank,0.50,0.60,0.50,0.40,0.30,0.00,-0.40,-0.10,0.60,1.40,1.10,1.00,1.30,1.10,0.90,0.30,0.16,0.03,-0.17,-0.21
"Alfred Berg SE, Copenhagen Branch",0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,
Alm. Brand Bank A/S,-0.07,-0.10,-0.20,-0.40,0.10,0.10,-0.10,-0.20,1.80,7.60,4.40,5.80,2.70,1.90,1.90,3.50,0.30,-0.50,-0.90,-0.70
Almind Sparekasse,0.00,0.00,1.30,0.70,2.30,0.40,,,,,,,,,,,,,,
Amagerbanken,0.50,1.00,3.40,1.20,0.50,0.20,-0.10,0.10,4.10,4.20,16.80,,,,,,,,,
Andelskassen Fælleskassen,0.50,3.20,1.00,-0.10,0.00,-0.70,-0.60,0.30,1.40,2.10,1.40,1.40,0.90,1.10,1.20,-0.20,-1.00,-0.48,0.30,-0.73
Andelskassen OIKOS,0.05,0.40,0.20,0.20,-0.10,0.40,0.00,0.50,0.10,0.10,0.10,0.10,0.35,0.87,0.20,0.70,0.30,-0.20,0.80,
Århus Andelskasse,0.70,0.00,0.90,2.10,2.50,,,,,,,,,,,,,,,
ArosMaizels Investment Bank A/S,0.00,,,,,,,,,,,,,,,,,,,
"Arts Herred, Sparekassen for",1.60,0.70,1.10,0.90,0.10,0.50,0.40,0.36,0.60,2.40,1.10,3.70,,,,,,,,
Astrup-Tulstrup-Hvilsted Sparekasse,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,
Bank DNB  A/S,,,,,,,0.00,0.06,2.13,3.06,3.17,10.95,,,,,,,,
Bank Trelleborg A/S,0.50,0.50,0.60,1.10,1.20,0.40,0.20,1.18,,,,,,,,,,,,
Basisbank A/S,4.90,2.50,0.10,1.60,0.80,0.30,0.00,0.00,0.60,1.40,3.30,2.80,5.50,3.90,5.30,19.10,4.50,7.70,6.39,7.00
BG Bank A/S,0.60,,,,,,,,,,,,,,,,,,,
Boddum-Ydby Sparekasse,0.70,0.20,1.90,2.00,0.60,1.20,-0.80,-0.10,0.40,2.20,1.50,2.90,,,,,,,,
Bonusbanken A/S,0.41,0.50,0.90,0.80,0.30,0.10,0.30,0.20,,,,,,,,,,,,
Borbjerg Sparekasse,1.50,0.50,0.90,2.30,0.80,0.40,-1.39,0.00,0.30,1.00,0.80,0.02,1.10,0.50,0.80,0.50,0.40,-0.10,-0.37,0.85
