A/S Nørresundby Bank,-6.89,15.20,2.00,5.20,23.10,24.40,23.90,15.90,9.20,-16.30,2.90,-5.90,-8.30,4.60,-4.20,,,,,
Aarhus Lokalbank Aktieselskab,20.80,3.90,-0.50,24.50,34.70,38.80,88.50,74.30,4.00,11.30,-9.60,-18.20,,,,,,,,
Aars Bank A/S,1.90,,,,,,,,,,,,,,,,,,,
Agri-Egens Sparekasse,7.30,14.20,16.40,-0.60,0.30,22.30,18.80,26.80,16.60,10.80,,,,,,,,,,
Aktieselskabet Arbejdernes Landsbank,14.70,2.80,-1.20,7.80,10.20,13.10,22.00,18.80,31.30,-2.60,-0.20,0.20,3.50,2.10,0.90,8.10,6.16,4.03,0.67,3.50
"Alfred Berg SE, Copenhagen Branch",82.90,-35.50,-48.10,-8.90,5.90,,,,,,,,,,,,,,,
Alm. Brand Bank A/S,14.23,17.50,22.70,-1.10,8.80,26.50,24.70,29.80,-7.50,-11.30,-14.70,-18.10,-13.10,-11.40,-35.20,-9.20,-6.10,0.70,23.30,-0.50
Almind Sparekasse,11.60,9.70,9.60,10.50,2.30,-8.50,,,,,,,,,,,,,,
Amagerbanken,23.00,0.20,-13.60,-4.00,15.70,60.20,37.50,35.30,4.10,-7.20,-25.60,,,,,,,,,
Andelskassen Fælleskassen,17.10,4.60,-0.40,0.20,0.70,13.70,35.40,33.80,10.90,2.20,-1.60,-1.60,-4.60,0.50,-2.20,-1.80,8.80,4.46,4.43,2.45
Andelskassen OIKOS,28.90,25.40,21.60,14.40,28.80,33.80,4.00,35.19,13.70,5.08,8.26,6.87,0.72,13.71,17.60,6.90,-6.50,-0.70,6.80,
Århus Andelskasse,9.20,10.60,12.30,22.20,-1.60,,,,,,,,,,,,,,,
ArosMaizels Investment Bank A/S,0.00,,,,,,,,,,,,,,,,,,,
"Arts Herred, Sparekassen for",-7.20,12.20,7.00,-3.00,7.00,-9.90,30.00,38.40,4.70,-1.30,-11.90,7.90,,,,,,,,
Astrup-Tulstrup-Hvilsted Sparekasse,-4.10,12.70,7.60,-25.70,-37.10,-809.00,-80.00,,,,,,,,,,,,,
Bank DNB  A/S,,,,,,,0.00,94.58,110.53,-46.16,-16.79,-60.97,,,,,,,,
Bank Trelleborg A/S,17.20,17.40,12.80,18.40,23.60,26.00,58.80,18.60,,,,,,,,,,,,
Basisbank A/S,0.00,80.60,-2.90,28.70,33.30,23.30,47.70,78.00,-6.90,-6.00,-3.90,-12.80,42.90,-1.80,-2.50,-10.70,17.30,16.40,16.96,16.24
BG Bank A/S,6.70,,,,,,,,,,,,,,,,,,,
Boddum-Ydby Sparekasse,12.40,12.20,4.40,16.00,15.30,-2.70,1.70,9.30,21.30,10.40,13.50,6.70,,,,,,,,
Bonusbanken A/S,30.23,17.10,16.50,20.70,44.00,73.30,41.40,25.30,,,,,,,,,,,,
Borbjerg Sparekasse,12.90,0.20,-8.20,3.10,18.50,-4.50,18.36,35.50,-6.60,-3.80,7.40,0.60,14.80,9.80,7.20,1.80,11.10,13.50,18.00,11.14
"Brenderup, J.A.K. Andelskassen",3.78,-5.50,0.30,11.60,-25.60,12.98,5.80,6.80,-7.89,,,,,,,,,,,
BRFkredit Bank a/s,115.10,75.00,37.10,18.60,9.10,6.90,87.60,29.50,27.90,-19.10,-5.20,-24.00,0.80,-7.00,-14.40,,,,,
Broager Sparekasse,-0.40,14.90,3.40,5.60,-4.30,14.30,22.60,35.20,15.30,6.80,2.40,3.40,-7.90,-4.70,-2.50,5.40,-3.30,0.60,5.40,-5.73
Brovst Sparekasse,-4.50,12.80,3.10,-4.40,-4.50,-2.10,,,,,,,,,,,,,,
Canto Bank A/S,,,,,,,,,,,,,,,,,,,,
Capinordic Bank A/S,,,,,,0.00,"4,202.20",248.63,-35.49,,,,,,,,,,,
Carnegie Bank A/S,105.90,305.30,-12.80,-60.50,698.60,-36.00,15.70,33.00,-24.20,8.90,-76.50,-32.90,3.80,,,,,,,
Coop Bank A/S,,,,,,,,,,,,,,0.00,115.30,42.20,64.70,68.15,21.64,11.08
Danske Andelskassers Bank A/S,29.60,21.70,-10.60,22.90,20.30,37.40,41.50,3.30,35.60,-14.20,-40.00,"1,289.90",-15.50,-11.10,-15.10,-4.70,7.36,5.13,3.40,2.58
Danske Bank A/S,23.60,39.70,-1.70,9.40,14.10,26.00,27.60,33.60,0.00,-17.90,2.00,-2.30,-4.00,-10.70,0.00,4.70,7.70,-2.60,2.00,2.80
Den Jyske Sparekasse,22.90,8.60,10.90,3.00,17.10,26.70,22.80,29.50,23.30,2.00,4.00,2.10,45.20,-9.60,-12.60,-7.50,-3.41,-10.81,,
Den Jyske Sparekasse A/S,,,,,,,,,,,,,,,,,,,-2.64,-1.83
Den lille Sparekasse,10.40,4.40,3.80,9.90,10.40,25.20,24.10,30.00,-6.80,,,,,,,,,,,
Dexia Bank A/S,65.00,414.60,218.40,-1.80,155.70,179.70,-28.00,-8.60,68.90,-41.60,-8.78,38.68,-5.32,,,,,,,
DiBa Bank A/S,7.20,5.70,-3.20,-3.60,32.30,31.60,35.60,16.50,-9.20,-15.50,-8.80,-7.60,-12.50,-18.60,,,,,,
Djurslands Bank A/S,6.80,11.00,7.60,1.90,10.50,20.00,25.30,21.70,-1.60,-8.10,-1.90,3.40,-8.60,2.00,-2.40,-1.90,4.10,23.20,-5.50,-2.50
Dragsholm Sparekasse,26.00,3.40,7.50,-22.40,4.10,29.50,31.60,26.60,12.40,-25.40,-0.70,-2.20,-2.60,-8.90,-11.70,18.00,36.20,17.30,9.79,8.49
Dragstrup-Skallerup Sparekasse,-1.10,-4.10,-16.00,-6.10,2.50,,,,,,,,,,,,,,,
Dronninglund Sparekasse,18.40,32.80,18.60,10.60,13.80,21.00,38.50,21.60,7.70,8.80,-4.90,1.00,1.90,-5.40,-7.10,-5.00,-5.20,-3.90,-13.90,
Durup Sparekasse,11.80,-5.50,-12.30,6.90,4.40,-3.20,,,,,,,,,,,,,,
"Ebeltoft, Andelskassen J.A.K",12.80,16.00,11.30,24.10,1.30,5.42,-12.60,37.10,-5.40,-7.50,4.80,26.50,-12.60,,,,,,,
EBH Bank A/S,4.20,-3.30,12.10,13.80,16.10,46.20,61.30,63.70,,,,,,,,,,,,
Egnsbank Fyn A/S,16.34,12.40,,,,,,,,,,,,,,,,,,
Eik Bank Danmark A/S,,0.00,487.90,258.60,54.90,85.80,45.50,149.60,-3.10,-2.20,0.30,,,,,,,,,
Ekspres Bank A/S,,,,,,,,28.30,21.70,-4.10,-3.77,22.02,17.60,5.66,1.91,11.11,11.58,19.61,11.95,16.17
Facit Bank A/S,,,,,,,,,,,,,,,,,,,,
Fanefjord Sparekasse,28.40,7.10,-0.80,-0.80,8.80,14.70,15.80,5.70,17.30,-0.90,-5.80,-5.80,,,,,,,,
Fanø Sparekasse,-0.10,10.20,17.60,0.00,-0.90,-7.90,27.60,5.10,11.60,1.20,10.40,2.40,-6.50,-4.40,-12.90,-13.30,-11.10,-1.50,1.81,11.90
"Farsø, Sparekassen",18.30,13.60,0.50,20.50,12.20,38.50,48.90,23.80,5.50,-3.20,3.00,-8.20,,,,,,,,
Faster Andelskasse,4.70,1.50,-3.90,-8.10,-7.00,8.30,14.20,-4.80,42.40,3.20,-19.80,2.90,8.61,0.30,5.00,14.60,5.08,7.27,0.20,48.02
