A/S Nørresundby Bank,8.87,8.10,8.90,17.60,12.20,12.40,19.50,13.00,2.10,2.60,4.80,3.20,5.60,6.40,9.40,,,,,
Aarhus Lokalbank Aktieselskab,11.40,9.10,8.30,16.90,14.90,18.30,17.70,12.70,-0.70,0.10,-84.40,-88.10,,,,,,,,
Aars Bank A/S,-23.50,,,,,,,,,,,,,,,,,,,
Agri-Egens Sparekasse,3.50,-11.60,0.30,-31.00,4.70,6.50,16.60,5.40,-3.50,-0.90,,,,,,,,,,
Aktieselskabet Arbejdernes Landsbank,9.20,6.30,5.10,16.10,10.30,9.00,11.80,6.70,-2.10,2.60,4.40,1.20,13.50,11.20,6.60,5.50,7.65,18.57,4.42,7.94
"Alfred Berg SE, Copenhagen Branch",94.80,19.00,1.30,0.10,46.20,,,,,,,,,,,,,,,
Alm. Brand Bank A/S,5.70,8.30,13.80,14.70,15.40,16.10,11.10,11.50,-37.20,-243.70,-60.10,-84.60,-39.10,-34.70,-10.00,-15.40,2.40,3.50,1.20,0.60
Almind Sparekasse,-2.50,1.30,0.60,-0.80,-8.40,-4.50,,,,,,,,,,,,,,
Amagerbanken,14.70,12.90,-4.20,17.90,19.20,30.40,27.50,18.10,-29.50,-26.60,-476.40,,,,,,,,,
Andelskassen Fælleskassen,0.10,-15.40,7.00,7.60,9.90,12.70,15.00,12.50,9.30,6.70,0.90,4.10,4.10,3.40,4.30,6.70,5.40,2.20,0.82,7.08
Andelskassen OIKOS,7.60,2.40,2.20,-5.00,3.40,4.50,10.80,-2.10,-3.18,-1.50,-6.80,5.60,5.50,-2.70,3.05,3.31,0.90,3.10,11.51,
Århus Andelskasse,-6.30,2.40,1.00,-3.00,-36.60,,,,,,,,,,,,,,,
ArosMaizels Investment Bank A/S,3.70,,,,,,,,,,,,,,,,,,,
"Arts Herred, Sparekassen for",8.60,7.00,9.40,11.60,12.40,10.80,13.40,-3.50,-20.00,-3.60,-3.00,-51.20,,,,,,,,
Astrup-Tulstrup-Hvilsted Sparekasse,0.80,1.70,4.40,-1.70,1.70,-3.70,-2.40,,,,,,,,,,,,,
Bank DNB  A/S,,,,,,,6.75,8.06,-7.13,-56.26,-28.26,6.61,,,,,,,,
Bank Trelleborg A/S,7.40,7.70,7.40,11.40,7.10,7.30,11.40,-4.00,,,,,,,,,,,,
Basisbank A/S,-291.00,-75.50,-16.40,3.50,26.90,50.60,28.50,4.60,-34.20,-3.70,-33.60,-64.20,-163.40,-74.90,2.10,-173.70,37.60,17.30,24.14,10.56
BG Bank A/S,4.30,,,,,,,,,,,,,,,,,,,
Boddum-Ydby Sparekasse,4.60,4.80,4.80,4.30,9.20,6.40,8.60,6.50,0.20,2.20,4.10,-3.80,,,,,,,,
Bonusbanken A/S,5.57,9.50,9.10,14.10,9.30,14.10,9.60,7.80,,,,,,,,,,,,
Borbjerg Sparekasse,7.90,10.10,9.20,0.90,8.00,8.80,19.98,4.20,-1.10,6.90,4.80,1.00,9.30,8.90,10.80,9.50,8.80,11.40,9.43,12.69
"Brenderup, J.A.K. Andelskassen",0.45,0.10,1.70,-15.00,-15.70,8.50,9.10,-11.10,-2.87,,,,,,,,,,,
BRFkredit Bank a/s,5.70,2.80,6.70,6.00,8.10,7.90,7.10,4.40,-8.80,-65.90,-7.20,-9.20,-4.30,-5.70,-17.50,,,,,
Broager Sparekasse,8.40,5.60,4.80,4.50,4.40,6.60,9.70,6.10,-3.30,4.00,0.10,2.40,-24.20,4.40,10.90,6.30,10.70,9.80,8.56,11.55
Brovst Sparekasse,1.20,1.60,4.00,5.90,5.50,10.30,,,,,,,,,,,,,,
Canto Bank A/S,,,,,,,,,,,,,,,,,,,0.36,1.24
Capinordic Bank A/S,,,,,,0.00,0.71,7.06,-17.14,,,,,,,,,,,
Carnegie Bank A/S,152.10,94.10,41.50,45.00,110.60,27.40,25.00,20.50,-13.70,-33.10,0.00,-22.10,6.50,,,,,,,
Coop Bank A/S,,,,,,,,,,,,,,-61.50,-40.60,-35.20,-26.42,-20.41,-11.05,-3.11
Danske Andelskassers Bank A/S,5.40,2.70,5.80,27.20,13.80,16.10,33.80,12.30,-23.90,3.70,6.60,-12.70,-11.80,-37.10,2.40,-1.10,1.90,6.00,8.80,22.40
Danske Bank A/S,11.60,16.10,14.00,15.40,13.20,17.21,16.30,14.80,-0.40,1.00,4.20,1.10,3.50,5.50,2.60,8.20,11.90,12.40,8.80,9.00
Den Jyske Sparekasse,9.00,8.60,7.60,11.60,7.60,10.90,10.90,5.30,-2.70,-2.80,0.70,-8.30,-9.70,-15.80,-9.10,2.58,5.21,9.31,,
Den Jyske Sparekasse A/S,,,,,,,,,,,,,,,,,,,6.71,8.76
Den lille Sparekasse,9.50,7.20,9.90,15.80,9.40,13.10,16.40,6.30,-37.70,,,,,,,,,,,
Dexia Bank A/S,5.20,-12.30,0.10,1.40,5.30,19.40,6.00,6.40,2.51,-11.16,-18.46,-18.20,-40.59,,,,,,,
DiBa Bank A/S,10.20,9.00,7.20,18.50,11.70,15.60,13.50,5.50,-15.00,-16.80,-8.00,9.50,-26.40,-79.90,,,,,,
Djurslands Bank A/S,11.90,12.60,10.80,18.10,10.20,13.10,15.80,13.30,2.90,6.50,5.60,3.40,6.40,4.80,7.10,6.90,8.70,10.10,7.10,10.20
Dragsholm Sparekasse,9.40,5.80,10.40,30.10,6.20,19.40,11.60,4.50,-4.40,-2.00,2.80,0.80,-3.00,-0.10,0.60,-2.90,5.70,4.40,2.97,7.35
Dragstrup-Skallerup Sparekasse,3.10,1.90,1.00,-2.20,-4.70,,,,,,,,,,,,,,,
Dronninglund Sparekasse,5.90,8.10,2.90,5.90,6.70,6.60,7.80,5.40,1.00,1.10,-2.20,2.30,2.80,-19.10,2.20,5.20,6.20,8.20,2.80,
Durup Sparekasse,5.60,-1.80,0.60,5.70,5.20,9.50,,,,,,,,,,,,,,
"Ebeltoft, Andelskassen J.A.K",5.70,3.50,-1.40,5.60,3.60,2.10,3.10,5.60,0.80,0.70,-2.40,1.60,-3.70,,,,,,,
EBH Bank A/S,10.90,12.30,15.60,19.90,23.10,24.10,20.80,25.40,,,,,,,,,,,,
Egnsbank Fyn A/S,9.39,5.80,,,,,,,,,,,,,,,,,,
Eik Bank Danmark A/S,,-7.30,-15.40,3.30,7.20,19.60,25.10,12.00,-19.80,-31.00,-5.80,,,,,,,,,
Ekspres Bank A/S,,,,,,,,22.58,-0.83,-5.16,1.87,6.46,11.95,16.08,21.89,17.68,24.94,22.47,12.56,8.25
Facit Bank A/S,,,,,,,,,,,,,,,,,,,,-19.23
Fanefjord Sparekasse,4.70,9.40,10.10,8.20,8.20,8.80,15.50,6.50,-0.90,-0.90,1.00,-1.60,,,,,,,,
Fanø Sparekasse,10.10,9.50,10.20,7.10,8.70,9.00,15.50,2.20,-6.40,7.20,4.30,0.90,1.70,1.50,6.20,-2.70,0.20,-15.40,1.66,8.60
"Farsø, Sparekassen",9.80,5.50,4.60,11.50,8.90,11.20,17.00,10.80,-7.20,-6.80,-19.50,-23.30,,,,,,,,
Faster Andelskasse,2.00,6.40,6.80,7.00,8.30,7.60,12.30,1.20,-8.60,3.00,2.80,-8.40,3.20,2.50,3.30,3.20,2.17,2.48,3.73,1.19
FIH Erhvervsbank A/S,,,11.60,9.70,10.10,13.10,15.30,15.00,1.50,0.70,6.50,-14.80,-23.49,3.90,-0.65,0.38,,,,
FIH Kapital Bank A/S,,,,,,,,7.50,2.60,0.70,0.00,5.60,-3.80,,,,,,,
Finansbanken A/S,1.80,-6.10,-22.80,0.20,12.10,4.70,2.90,13.50,-6.90,-37.30,,,,,,,,,,
Fionia Bank A/S,11.10,10.10,8.10,12.30,11.40,15.90,19.10,12.60,-64.00,,,,,,,,,,,
Fjaltring-Trans Sparekasse,6.40,6.20,5.90,4.50,6.30,-0.10,-1.85,5.61,2.32,10.00,-1.58,4.39,9.29,-0.10,-1.50,-8.30,-1.70,,,
Fjordbank Mors A/S,15.30,7.40,7.00,11.50,11.20,11.80,16.20,15.30,-12.10,-28.30,-17.20,,,,,,,,,
Flakkebjerg og Omegns Sparekasse,1.20,-3.90,0.70,-6.60,-3.00,-7.00,,,,,,,,,,,,,,
Flemløse Sparekasse,9.00,7.60,3.90,24.60,7.80,7.60,9.93,8.80,0.50,0.70,4.20,0.80,-6.50,5.50,6.50,5.30,0.30,,,
Folkesparekassen,7.60,6.40,8.30,8.30,7.50,0.40,7.90,9.10,4.10,4.00,3.10,1.70,3.00,3.50,3.20,1.30,4.20,4.40,0.77,3.11
