A/S Nørresundby Bank,14.56,13.40,13.60,14.20,14.30,12.20,13.10,12.40,14.10,14.60,14.50,16.70,17.60,18.90,20.00,,,,,
Aarhus Lokalbank Aktieselskab,10.80,10.10,10.50,11.60,11.00,10.90,7.90,6.70,6.50,11.90,3.50,8.20,,,,,,,,
Aars Bank A/S,6.30,,,,,,,,,,,,,,,,,,,
Agri-Egens Sparekasse,20.40,16.10,14.10,17.60,21.10,22.00,21.40,16.60,16.90,15.70,,,,,,,,,,
Aktieselskabet Arbejdernes Landsbank,12.10,12.50,13.70,14.30,14.30,15.10,14.70,12.00,11.10,11.90,11.90,12.20,13.50,13.90,15.60,13.30,16.97,18.12,19.87,17.10
"Alfred Berg SE, Copenhagen Branch",58.20,94.34,111.10,107.30,113.50,,,,,,,,,,,,,,,
Alm. Brand Bank A/S,10.81,9.60,8.00,8.50,7.30,8.00,8.00,7.50,4.50,11.30,15.30,10.70,14.10,19.20,19.30,18.60,19.30,21.40,19.60,19.50
Almind Sparekasse,17.30,17.30,16.10,14.80,12.50,12.50,,,,,,,,,,,,,,
Amagerbanken,8.20,8.50,8.50,10.20,10.10,8.30,8.50,8.10,6.30,12.00,-4.10,,,,,,,,,
Andelskassen Fælleskassen,12.60,12.20,13.80,15.50,16.60,17.40,16.40,15.00,15.90,16.20,15.60,18.00,20.10,22.50,24.90,24.50,23.80,22.15,20.57,32.81
Andelskassen OIKOS,44.90,41.40,36.20,34.70,23.50,19.22,19.83,15.51,16.12,14.58,11.56,13.48,13.80,12.31,12.14,13.08,11.72,0.00,13.58,
Århus Andelskasse,10.80,11.70,11.20,9.60,6.00,,,,,,,,,,,,,,,
ArosMaizels Investment Bank A/S,540.70,,,,,,,,,,,,,,,,,,,
"Arts Herred, Sparekassen for",24.70,21.90,22.40,23.20,24.70,15.40,24.50,18.80,14.80,18.00,14.60,9.50,,,,,,,,
Astrup-Tulstrup-Hvilsted Sparekasse,41.60,42.00,44.80,42.30,54.60,44.00,60.10,,,,,,,,,,,,,
Bank DNB  A/S,,,,,,,34.67,18.96,20.04,27.19,27.87,132.34,,,,,,,,
Bank Trelleborg A/S,15.50,15.40,15.40,14.40,13.40,11.20,9.40,7.20,,,,,,,,,,,,
Basisbank A/S,16.90,16.40,12.40,9.40,7.60,9.30,9.70,7.20,5.20,11.40,7.80,6.20,4.10,6.70,9.60,17.30,16.90,17.60,18.11,22.53
BG Bank A/S,7.90,,,,,,,,,,,,,,,,,,,
Boddum-Ydby Sparekasse,27.70,26.70,27.00,26.00,25.30,26.40,27.80,28.20,27.10,25.20,21.30,21.70,,,,,,,,
Bonusbanken A/S,22.82,20.20,19.00,17.70,14.30,11.60,12.10,11.60,,,,,,,,,,,,
Borbjerg Sparekasse,20.80,21.90,27.90,24.90,24.60,27.00,27.50,22.00,28.90,30.20,29.70,28.90,22.70,24.50,27.60,27.90,27.90,27.50,25.93,27.09
"Brenderup, J.A.K. Andelskassen",29.36,29.80,30.10,26.20,29.10,28.80,30.70,34.40,36.48,,,,,,,,,,,
BRFkredit Bank a/s,14.80,7.00,10.80,11.10,10.70,9.80,9.10,9.10,10.20,7.90,13.30,16.70,17.50,23.80,19.10,,,,,
Broager Sparekasse,16.60,14.80,14.40,14.50,15.90,15.10,15.60,13.00,14.50,13.60,13.20,14.10,10.20,11.40,13.60,14.20,15.60,16.60,15.87,19.16
Brovst Sparekasse,22.90,21.30,21.70,22.40,24.60,25.10,,,,,,,,,,,,,,
Canto Bank A/S,,,,,,,,,,,,,,,,,,,80.50,68.70
Capinordic Bank A/S,,,,,,0.00,140.00,51.09,39.00,,,,,,,,,,,
Carnegie Bank A/S,19.50,21.30,23.20,24.40,13.70,14.90,17.10,26.80,14.40,13.10,39.20,38.70,45.50,,,,,,,
Coop Bank A/S,,,,,,,,,,,,,,86.30,45.20,40.70,28.62,20.78,19.10,16.50
Danske Andelskassers Bank A/S,33.30,24.40,23.00,54.00,48.10,47.50,43.20,32.00,27.00,28.70,36.00,14.00,15.30,11.20,15.70,15.10,15.70,16.40,15.00,19.50
Danske Bank A/S,11.20,10.20,10.90,11.10,11.10,10.70,12.20,8.20,11.10,17.20,18.50,20.90,25.10,24.30,21.20,22.50,24.20,23.00,23.30,23.70
Den Jyske Sparekasse,16.60,15.90,14.80,18.50,18.50,17.10,18.90,18.20,12.90,15.30,15.30,13.80,11.40,12.10,11.90,12.50,14.11,16.13,,
Den Jyske Sparekasse A/S,,,,,,,,,,,,,,,,,,,15.11,16.70
Den lille Sparekasse,15.20,15.10,17.10,17.40,16.80,12.20,13.20,13.50,15.70,,,,,,,,,,,
Dexia Bank A/S,77.50,100.90,57.40,63.70,39.90,23.40,19.50,15.20,25.60,14.80,10.68,15.44,10.91,,,,,,,
DiBa Bank A/S,12.40,11.30,11.40,14.50,13.90,12.80,11.00,8.70,8.80,10.90,10.50,12.70,12.10,6.80,,,,,,
Djurslands Bank A/S,9.71,10.20,10.50,12.40,12.00,10.20,10.40,10.10,9.50,11.70,14.30,16.00,17.30,18.10,16.70,17.50,17.90,18.90,18.00,18.80
Dragsholm Sparekasse,20.80,19.00,18.40,21.70,23.40,19.50,19.90,19.00,28.00,31.30,30.00,31.80,25.10,24.90,27.00,24.20,22.90,21.80,22.43,24.54
Dragstrup-Skallerup Sparekasse,69.80,64.57,77.32,73.74,73.36,,,,,,,,,,,,,,,
