A/S Nørresundby Bank,214.61,199.40,204.20,231.10,163.10,5.10,51.30,83.90,119.00,269.00,259.30,193.70,248.80,211.60,202.00,,,,,
Aarhus Lokalbank Aktieselskab,68.64,62.40,103.00,90.20,57.50,64.10,49.50,30.50,130.20,123.80,284.40,169.90,,,,,,,,
Aars Bank A/S,15.50,,,,,,,,,,,,,,,,,,,
Agri-Egens Sparekasse,242.20,107.90,219.10,277.60,414.30,405.90,444.10,294.20,185.70,308.90,,,,,,,,,,
Aktieselskabet Arbejdernes Landsbank,163.10,176.80,152.50,169.40,141.20,59.40,41.30,121.50,104.80,221.90,237.40,248.00,268.00,261.20,229.90,199.40,191.80,241.98,268.05,269.87
"Alfred Berg SE, Copenhagen Branch",776.40,860.70,747.60,750.30,786.50,,,,,,,,,,,,,,,
Alm. Brand Bank A/S,197.68,83.80,89.20,99.70,43.60,74.40,54.10,104.00,82.30,106.40,265.90,327.30,255.60,202.00,323.00,272.30,278.50,276.30,370.30,
Almind Sparekasse,393.80,409.30,394.60,471.00,366.90,417.70,,,,,,,,,,,,,,
Amagerbanken,54.60,145.30,153.90,123.20,126.30,62.10,52.20,71.90,101.00,208.70,178.40,,,,,,,,,
Andelskassen Fælleskassen,82.50,160.20,264.40,335.00,360.60,401.70,245.40,94.60,183.30,182.20,204.30,202.10,304.40,282.30,308.55,350.40,342.00,351.01,0.00,0.00
Andelskassen OIKOS,498.39,527.90,557.40,489.90,565.00,411.60,433.50,225.60,240.80,375.90,398.90,309.25,297.60,198.93,127.70,163.60,239.36,202.10,247.70,
Århus Andelskasse,109.10,170.06,291.10,201.70,145.30,,,,,,,,,,,,,,,
ArosMaizels Investment Bank A/S,"3,515,307.50",,,,,,,,,,,,,,,,,,,
"Arts Herred, Sparekassen for",543.50,487.70,"1,054.10",606.50,530.10,355.60,451.30,291.50,384.70,424.00,461.90,351.20,,,,,,,,
Astrup-Tulstrup-Hvilsted Sparekasse,747.00,694.60,679.40,797.50,894.40,890.00,"1,115.40",,,,,,,,,,,,,
Bank DNB  A/S,,,,,,,475.08,203.12,166.45,"1,304.26","2,424.84","2,391.44",,,,,,,,
Bank Trelleborg A/S,100.70,80.00,71.20,116.40,103.90,77.10,129.70,62.84,,,,,,,,,,,,
Basisbank A/S,199.50,257.70,388.80,331.40,322.70,326.40,208.60,111.20,126.80,182.60,245.10,163.80,187.70,126.40,170.40,311.00,209.50,167.80,"3,175.00",
BG Bank A/S,277.70,,,,,,,,,,,,,,,,,,,
Boddum-Ydby Sparekasse,390.30,346.70,354.80,314.80,306.00,356.00,384.40,332.70,186.10,226.10,359.80,254.80,,,,,,,,
Bonusbanken A/S,644.82,534.70,472.10,437.70,326.40,105.80,76.60,91.30,,,,,,,,,,,,
Borbjerg Sparekasse,126.50,234.00,227.50,317.70,161.00,274.10,195.64,74.70,287.90,293.10,377.00,379.00,381.40,360.10,304.70,285.40,423.40,252.10,224.55,
"Brenderup, J.A.K. Andelskassen",125.22,334.20,464.30,305.70,268.10,519.23,516.35,298.50,242.15,,,,,,,,,,,
BRFkredit Bank a/s,420.10,240.80,385.30,407.20,348.60,335.50,258.60,177.60,176.80,211.10,574.40,714.40,543.30,448.50,687.10,,,,,
Broager Sparekasse,260.50,206.10,206.70,175.90,191.90,125.60,67.20,89.50,85.70,85.90,153.00,147.20,173.80,163.90,204.20,224.30,276.60,278.00,443.16,
Brovst Sparekasse,312.50,244.10,278.10,358.50,411.90,461.70,,,,,,,,,,,,,,
Canto Bank A/S,,,,,,,,,,,,,,,,,,,"5,960.80","3,602.50"
Capinordic Bank A/S,,,,,,0.00,"1,660.90",288.25,338.00,,,,,,,,,,,
Carnegie Bank A/S,644.50,329.80,45.70,416.10,378.90,397.40,398.30,311.10,434.00,396.80,753.96,785.36,883.10,,,,,,,
Coop Bank A/S,,,,,,,,,,,,,,"1,057.50",656.80,473.40,362.94,282.91,0.00,
Danske Andelskassers Bank A/S,621.60,665.40,650.90,693.20,664.70,727.20,629.20,711.90,668.20,738.60,832.70,167.60,251.00,169.60,236.30,204.96,176.38,149.20,,
Danske Bank A/S,83.60,157.60,182.10,215.20,184.00,160.20,137.00,88.30,66.30,138.30,144.60,107.40,166.50,209.00,141.00,192.80,201.90,213.40,109.90,119.80
Den Jyske Sparekasse,100.70,91.60,98.90,120.40,105.10,109.00,104.60,90.10,145.10,160.00,234.40,131.60,147.68,171.60,156.10,127.85,115.62,98.26,,
Den Jyske Sparekasse A/S,,,,,,,,,,,,,,,,,,,,
Den lille Sparekasse,101.90,194.70,243.50,198.80,240.70,259.70,221.40,206.00,216.10,,,,,,,,,,,
Dexia Bank A/S,550.90,767.00,544.10,549.70,222.00,71.90,76.10,121.20,57.74,104.30,115.67,43.40,131.69,,,,,,,
DiBa Bank A/S,57.50,54.10,115.20,121.50,59.10,65.80,50.50,66.95,129.50,275.50,292.60,154.80,166.10,274.60,,,,,,
Djurslands Bank A/S,57.93,75.70,70.90,106.20,104.50,61.90,60.00,44.90,100.50,195.10,212.80,170.40,206.50,181.20,130.40,153.90,196.00,114.90,160.40,
Dragsholm Sparekasse,506.40,474.20,503.40,537.90,509.60,490.00,391.70,282.10,316.50,480.10,521.90,630.90,555.90,530.60,521.90,487.50,431.30,484.10,448.11,
Dragstrup-Skallerup Sparekasse,742.90,846.30,916.30,875.90,893.30,,,,,,,,,,,,,,,
Dronninglund Sparekasse,203.70,129.20,91.10,72.20,96.10,82.70,56.40,39.70,91.90,138.20,201.20,142.70,147.80,110.20,183.90,138.80,156.50,182.50,242.60,
Durup Sparekasse,362.20,384.10,454.10,414.10,460.00,467.40,,,,,,,,,,,,,,
"Ebeltoft, Andelskassen J.A.K",398.40,347.20,132.80,142.00,161.50,232.50,301.10,109.50,62.00,202.20,214.10,172.90,180.80,,,,,,,
EBH Bank A/S,77.10,77.10,118.80,96.80,103.30,47.70,102.60,70.50,,,,,,,,,,,,
Egnsbank Fyn A/S,187.44,68.10,,,,,,,,,,,,,,,,,,
Eik Bank Danmark A/S,,"1,029.70",108.40,115.70,42.70,46.30,41.00,132.90,130.00,116.10,253.20,,,,,,,,,
Ekspres Bank A/S,,,,,,,,429.80,243.70,407.60,513.17,295.30,137.16,185.02,211.30,183.70,127.60,217.30,411.35,386.96
Facit Bank A/S,,,,,,,,,,,,,,,,,,,,
Fanefjord Sparekasse,238.20,229.10,383.60,418.40,409.90,400.10,294.70,284.50,208.40,261.30,360.90,283.10,,,,,,,,
Fanø Sparekasse,441.20,364.40,315.60,338.60,342.70,381.00,295.70,309.40,472.80,490.70,483.10,387.00,440.70,421.60,432.10,491.30,480.95,480.60,494.84,
"Farsø, Sparekassen",90.90,78.00,90.30,50.30,64.00,83.70,15.40,45.20,82.60,161.40,232.70,193.90,,,,,,,,
Faster Andelskasse,352.20,372.60,384.30,390.00,402.40,389.30,243.20,317.40,109.40,220.60,386.60,363.80,378.00,402.10,343.30,299.70,355.81,285.14,,
FIH Erhvervsbank A/S,,,2.90,22.50,17.60,90.40,71.00,21.11,6.90,124.23,49.50,97.09,94.45,214.60,343.09,415.23,,,,
