A/S Nørresundby Bank,4.41,5.80,6.10,5.90,4.60,3.90,2.90,2.60,3.00,3.60,3.20,1.50,2.10,0.20,0.50,,,,,
Aarhus Lokalbank Aktieselskab,2.83,4.20,4.90,4.40,4.00,0.10,1.20,-0.80,-3.70,-5.00,-28.70,-7.50,,,,,,,,
Aars Bank A/S,4.40,,,,,,,,,,,,,,,,,,,
Agri-Egens Sparekasse,4.20,0.00,0.00,0.00,0.00,8.00,10.60,0.00,4.50,0.00,,,,,,,,,,
Aktieselskabet Arbejdernes Landsbank,9.90,7.10,3.80,5.20,4.40,5.10,4.70,3.70,5.30,3.80,3.00,0.20,-1.40,-2.30,-1.40,-1.00,-1.19,-0.72,0.53,1.15
"Alfred Berg SE, Copenhagen Branch",0.00,0.40,1.50,1.00,0.44,,,,,,,,,,,,,,,
Alm. Brand Bank A/S,6.53,1.80,4.70,6.80,5.90,7.00,6.30,2.70,6.40,5.00,-0.90,-2.40,-1.80,2.50,2.20,0.50,0.60,2.10,3.50,3.60
Almind Sparekasse,7.10,3.50,5.00,6.60,6.80,10.10,,,,,,,,,,,,,,
Amagerbanken,3.30,3.40,2.30,2.50,1.10,2.60,1.30,0.60,1.70,-2.00,-0.90,,,,,,,,,
Andelskassen Fælleskassen,0.70,0.65,0.00,0.20,0.70,2.10,1.20,1.70,2.50,2.70,2.00,4.30,4.20,0.80,1.40,3.50,1.10,4.52,6.63,0.10
Andelskassen OIKOS,6.10,0.30,2.10,17.10,0.20,2.30,1.50,1.00,0.00,3.30,7.30,1.35,2.84,0.00,0.80,1.09,0.50,0.00,0.46,
Århus Andelskasse,3.90,1.50,9.30,5.50,0.40,,,,,,,,,,,,,,,
ArosMaizels Investment Bank A/S,0.80,,,,,,,,,,,,,,,,,,,
"Arts Herred, Sparekassen for",10.63,10.10,12.10,12.00,13.80,16.70,9.60,8.60,6.50,6.80,5.90,7.40,,,,,,,,
Astrup-Tulstrup-Hvilsted Sparekasse,8.30,13.00,12.20,16.40,11.00,10.50,0.00,,,,,,,,,,,,,
Bank DNB  A/S,,,,,,,0.00,0.02,-0.06,-0.12,-0.18,0.03,,,,,,,,
Bank Trelleborg A/S,5.30,4.00,4.50,2.30,1.70,2.40,1.40,1.40,,,,,,,,,,,,
Basisbank A/S,0.00,0.00,5.30,4.00,3.30,7.80,4.90,4.20,6.40,5.30,4.70,2.30,-9.10,-3.80,-1.70,-0.40,0.20,-0.30,-0.43,-0.14
BG Bank A/S,5.30,,,,,,,,,,,,,,,,,,,
Boddum-Ydby Sparekasse,3.00,2.50,3.80,3.60,2.40,2.60,2.40,2.30,1.70,0.70,2.30,4.90,,,,,,,,
Bonusbanken A/S,17.29,16.40,11.00,9.30,7.80,5.50,4.90,1.30,,,,,,,,,,,,
Borbjerg Sparekasse,2.50,3.50,3.10,5.70,2.70,4.60,1.96,0.80,1.00,4.00,3.80,5.10,6.10,4.40,2.70,1.20,0.50,0.70,2.37,2.26
"Brenderup, J.A.K. Andelskassen",0.53,6.80,12.60,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,
BRFkredit Bank a/s,8.00,8.40,4.10,1.90,3.80,5.20,1.60,2.30,2.50,2.60,1.10,-1.70,-0.70,0.40,-3.70,,,,,
Broager Sparekasse,6.30,7.80,5.90,6.80,3.90,5.60,5.10,2.40,8.20,1.90,4.90,0.60,2.40,-0.20,0.70,0.90,0.70,1.30,1.11,2.05
Brovst Sparekasse,4.00,6.40,6.30,8.60,5.70,7.70,,,,,,,,,,,,,,
Canto Bank A/S,,,,,,,,,,,,,,,,,,,0.85,1.29
Capinordic Bank A/S,,,,,,0.00,0.05,0.02,-0.22,,,,,,,,,,,
Carnegie Bank A/S,7.80,0.80,-1.30,4.60,0.40,0.10,8.20,-6.20,0.20,0.00,0.20,0.10,0.10,,,,,,,
Coop Bank A/S,,,,,,,,,,,,,,-0.10,2.10,1.40,1.93,0.03,1.85,2.16
Danske Andelskassers Bank A/S,3.40,8.30,7.30,3.50,3.30,3.70,4.00,3.20,3.30,5.90,4.50,1.60,2.50,3.60,0.80,2.10,2.30,2.30,2.80,2.20
Danske Bank A/S,1.80,2.90,1.50,2.20,0.60,0.00,0.40,2.10,2.50,0.70,0.00,0.40,0.10,1.10,1.60,1.50,3.60,3.20,3.40,3.40
Den Jyske Sparekasse,3.80,4.40,5.70,4.90,3.90,2.50,2.10,1.90,2.50,3.10,-0.70,-1.80,-2.60,0.20,0.10,0.47,0.07,-0.02,,
Den Jyske Sparekasse A/S,,,,,,,,,,,,,,,,,,,0.11,0.39
Den lille Sparekasse,6.80,6.70,5.70,4.20,5.10,8.80,7.10,5.00,7.20,,,,,,,,,,,
Dexia Bank A/S,3.80,0.60,4.40,8.90,1.70,7.00,2.20,0.10,9.63,1.50,2.07,0.14,1.12,,,,,,,
DiBa Bank A/S,3.40,4.70,7.60,5.80,5.70,6.00,8.10,5.50,7.80,2.20,1.70,-3.70,-1.30,-6.30,,,,,,
Djurslands Bank A/S,0.86,1.00,1.80,2.40,1.80,2.30,1.80,1.80,2.30,1.50,0.40,1.10,0.79,1.30,1.00,2.00,2.40,1.20,1.60,1.40
Dragsholm Sparekasse,14.60,13.00,14.10,13.50,7.30,16.00,12.80,11.00,11.80,15.10,11.00,9.00,5.60,9.10,4.80,7.20,6.20,5.60,4.74,3.98
Dragstrup-Skallerup Sparekasse,4.80,0.00,5.68,3.64,3.62,,,,,,,,,,,,,,,
Dronninglund Sparekasse,12.80,0.10,-1.40,4.50,3.70,4.40,1.90,1.90,1.50,0.40,1.20,1.20,0.60,0.20,1.30,3.00,1.00,1.00,0.20,
Durup Sparekasse,3.00,4.40,4.50,4.40,3.30,4.10,,,,,,,,,,,,,,
"Ebeltoft, Andelskassen J.A.K",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,,,,,,,
EBH Bank A/S,9.70,8.90,8.00,7.60,10.90,9.50,7.60,6.80,,,,,,,,,,,,
Egnsbank Fyn A/S,2.79,4.00,,,,,,,,,,,,,,,,,,
Eik Bank Danmark A/S,,0.00,0.00,0.00,2.30,2.20,2.00,4.20,2.10,5.80,1.60,,,,,,,,,
Ekspres Bank A/S,,,,,,,,5.97,-1.30,-1.16,1.72,-2.39,-1.85,-1.59,-1.38,-4.84,-5.16,-3.28,-3.62,-3.06
Facit Bank A/S,,,,,,,,,,,,,,,,,,,,
Fanefjord Sparekasse,6.00,4.10,5.40,3.60,3.80,5.20,6.90,8.00,7.30,6.40,8.30,3.10,,,,,,,,
Fanø Sparekasse,3.90,4.40,4.40,3.10,4.30,4.50,4.60,4.40,4.10,2.60,3.20,3.20,3.40,5.20,3.40,3.70,3.40,3.50,4.45,4.04
"Farsø, Sparekassen",3.70,6.60,1.70,1.10,0.90,4.10,0.70,1.50,4.40,2.10,-7.90,1.70,,,,,,,,
Faster Andelskasse,3.90,0.10,2.50,4.80,5.50,6.60,5.60,7.10,1.32,1.60,3.00,4.20,4.80,3.50,0.90,1.30,2.28,1.62,4.12,3.41
FIH Erhvervsbank A/S,,,1.90,3.20,2.50,5.10,5.10,3.80,-0.40,2.40,1.50,0.54,0.66,2.20,0.90,-0.07,,,,
FIH Kapital Bank A/S,,,,,,,,0.26,1.90,1.10,0.20,0.40,0.26,,,,,,,
Finansbanken A/S,3.20,2.20,1.80,1.30,-0.30,0.60,0.50,0.10,-0.30,2.40,,,,,,,,,,
Fionia Bank A/S,5.70,6.00,7.20,5.70,5.30,3.30,2.80,1.50,0.60,,,,,,,,,,,
Fjaltring-Trans Sparekasse,4.60,1.50,5.80,9.90,11.43,8.80,4.27,0.94,0.60,0.92,0.30,0.27,0.00,0.00,18.30,0.00,0.00,,,
Fjordbank Mors A/S,6.30,7.60,8.20,5.00,3.20,4.10,1.80,1.70,2.60,2.40,2.50,,,,,,,,,
Flakkebjerg og Omegns Sparekasse,10.50,9.70,8.00,8.00,9.50,11.50,,,,,,,,,,,,,,
Flemløse Sparekasse,0.40,2.80,2.60,5.90,1.70,3.60,2.11,2.20,2.90,4.00,3.30,0.80,0.10,0.80,0.40,1.10,2.48,,,
Folkesparekassen,1.40,2.40,4.30,5.80,1.30,1.90,1.60,1.90,0.30,2.10,1.20,1.50,3.00,4.30,1.50,3.00,2.10,3.20,2.80,2.00
Forstædernes Bank A/S,2.00,2.70,4.00,2.40,3.00,2.90,2.90,3.20,1.90,,,,,,,,,,,
Frørup Andelskasse,2.20,2.70,2.60,2.10,2.30,2.90,2.60,2.90,3.10,4.60,5.40,5.70,3.60,1.90,1.90,2.70,5.57,4.50,3.95,4.65
Frøs Sparekasse,3.00,2.60,4.50,2.10,0.90,2.50,2.80,1.60,0.60,1.20,1.10,-0.30,-0.40,-0.30,-0.50,1.00,1.20,2.60,3.05,2.98
Frøslev-Mollerup Sparekasse,4.90,3.40,2.80,2.60,1.40,1.80,2.20,1.60,2.20,2.40,2.40,2.40,2.20,3.60,3.10,3.90,3.00,3.13,3.79,3.57
Fruering-Vitved Sparekasse,11.90,7.60,4.20,2.30,4.50,8.10,7.20,4.20,2.80,1.60,3.20,,,,,,,,,
Funder Fælleskasse Andelskasse,0.20,0.20,0.10,0.10,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.90,0.60,0.00,,,,,,
Fuur Sparekasse,1.90,3.00,0.20,5.20,2.90,4.60,,,,,,,,,,,,,,
Fynske Bank A/S,3.00,4.40,4.30,4.30,3.80,3.30,4.00,2.30,3.50,2.80,3.40,1.30,1.10,1.80,3.20,1.20,1.41,1.80,1.80,1.75
Galten Sparekasse,1.60,1.80,4.90,4.30,3.30,3.70,1.20,,,,,,,,,,,,,
"Grønlandsbanken, Aktieselskab",4.30,4.60,3.80,4.90,3.40,5.80,4.90,4.00,2.20,1.20,1.20,1.00,1.20,0.60,1.30,1.10,1.30,1.10,2.00,2.10
Gudme Raaschou Bank A/S,0.84,0.57,0.00,0.00,0.00,0.10,14.40,6.90,-15.40,,,,,,,,,,,
Hals Sparekasse,4.80,29.10,13.30,11.60,8.80,10.10,6.20,5.90,7.10,5.70,7.90,3.50,2.70,3.40,3.40,,,,,
Hårslev Sparekasse,12.60,11.20,8.10,7.90,0.00,4.00,3.30,13.70,,,,,,,,,,,,
Hassing-Villerslev Sparekasse,7.00,9.20,,,,,,,,,,,,,,,,,,
Helgenæs Sparekasse,7.20,2.40,4.90,7.60,5.30,9.10,10.60,10.90,8.60,28.30,17.90,13.40,,,,,,,,
Hellevad-Ørum Sparekasse,5.40,4.00,2.30,6.10,4.40,,,,,,,,,,,,,,,
Helligsø-Gettrup Sparekasse,2.30,7.40,5.70,9.60,8.30,,,,,,,,,,,,,,,
