A/S Nørresundby Bank,158.80,166.70,169.60,172.80,182.90,158.00,124.30,119.00,65.20,48.50,46.60,32.40,31.70,43.60,42.20,,,,,
Aarhus Lokalbank Aktieselskab,146.40,108.50,123.70,119.50,198.00,168.70,213.90,188.00,199.50,79.70,451.10,171.30,,,,,,,,
Aars Bank A/S,104.50,,,,,,,,,,,,,,,,,,,
Agri-Egens Sparekasse,204.10,253.90,324.60,161.30,116.70,104.50,252.50,0.00,118.40,0.00,,,,,,,,,,
Aktieselskabet Arbejdernes Landsbank,116.10,150.70,187.20,132.50,98.20,141.20,118.30,71.20,102.70,88.20,66.20,54.30,35.50,46.50,20.70,10.60,0.00,0.00,52.96,65.45
"Alfred Berg SE, Copenhagen Branch",14.20,5.10,3.20,2.90,39.20,,,,,,,,,,,,,,,
Alm. Brand Bank A/S,149.49,275.30,162.70,183.00,306.20,329.90,295.10,311.90,321.70,96.90,67.60,68.70,62.10,52.60,55.20,141.10,28.50,36.10,43.20,52.40
Almind Sparekasse,213.60,191.30,210.10,301.70,344.90,255.60,,,,,,,,,,,,,,
Amagerbanken,267.70,189.00,169.40,225.00,223.60,386.00,294.50,349.10,416.30,180.40,0.00,,,,,,,,,
Andelskassen Fælleskassen,199.90,164.50,103.60,51.60,41.10,27.40,10.40,61.10,26.60,34.50,120.30,71.80,90.70,54.05,76.11,57.67,60.80,53.92,84.58,65.35
Andelskassen OIKOS,75.90,109.50,123.00,114.00,181.20,210.10,243.80,350.70,328.60,290.10,325.60,249.60,0.00,210.66,210.63,0.00,0.00,0.00,,
Århus Andelskasse,221.50,173.50,176.50,223.20,404.20,,,,,,,,,,,,,,,
ArosMaizels Investment Bank A/S,0.00,,,,,,,,,,,,,,,,,,,
"Arts Herred, Sparekassen for",41.10,0.00,73.20,34.30,40.30,18.50,25.70,0.00,206.10,172.20,10.82,0.00,,,,,,,,
Astrup-Tulstrup-Hvilsted Sparekasse,84.10,99.30,55.30,95.50,70.20,28.30,41.20,,,,,,,,,,,,,
Bank DNB  A/S,,,,,,,97.27,159.21,84.67,13.18,0.00,0.00,,,,,,,,
Bank Trelleborg A/S,70.40,40.00,77.30,184.50,214.90,256.80,187.90,216.90,,,,,,,,,,,,
Basisbank A/S,35.80,32.90,30.40,33.80,60.70,85.80,116.40,162.00,206.60,109.90,181.30,216.80,211.00,166.40,81.00,13.10,11.10,0.00,10.43,0.08
BG Bank A/S,344.53,,,,,,,,,,,,,,,,,,,
Boddum-Ydby Sparekasse,72.10,65.80,95.30,80.90,75.00,77.60,56.10,50.00,95.60,103.20,86.90,84.90,,,,,,,,
Bonusbanken A/S,53.94,50.50,80.50,67.30,113.00,95.30,88.00,184.40,,,,,,,,,,,,
Borbjerg Sparekasse,150.90,139.90,143.90,163.60,168.00,56.10,76.83,112.50,97.00,69.40,86.40,87.50,102.90,74.00,79.40,38.80,10.50,12.30,127.90,86.47
"Brenderup, J.A.K. Andelskassen",226.90,165.10,138.30,238.70,256.70,184.68,162.30,269.90,269.90,,,,,,,,,,,
BRFkredit Bank a/s,154.30,139.80,212.90,297.70,270.40,183.60,117.00,95.80,122.80,99.10,0.00,139.60,57.40,120.50,30.40,,,,,
Broager Sparekasse,0.00,70.20,27.30,15.30,10.20,57.90,0.00,21.30,29.60,41.60,35.60,20.20,38.60,26.00,15.70,41.00,10.30,0.00,152.11,94.36
Brovst Sparekasse,0.00,16.80,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
Canto Bank A/S,,,,,,,,,,,,,,,,,,,,0.00
Capinordic Bank A/S,,,,,,0.00,0.79,0.85,88.00,,,,,,,,,,,
Carnegie Bank A/S,12.00,26.00,57.50,49.90,115.80,85.30,28.30,21.30,58.90,23.50,23.80,15.20,10.30,,,,,,,
Coop Bank A/S,,,,,,,,,,,,,,0.00,0.00,22.60,0.00,0.00,0.00,0.00
Danske Andelskassers Bank A/S,32.50,48.70,87.50,154.80,44.90,63.10,30.60,79.80,56.10,59.20,66.90,18.30,29.10,46.40,53.00,50.50,48.70,61.50,167.10,113.00
Danske Bank A/S,70.50,107.70,140.00,149.60,161.20,173.80,151.50,151.00,98.20,22.80,46.70,32.60,11.80,0.00,0.00,0.00,11.40,12.50,101.80,125.10
Den Jyske Sparekasse,29.20,20.40,30.50,15.50,14.10,40.80,119.50,10.60,62.70,21.50,11.90,35.60,0.00,0.00,0.00,0.00,0.00,10.75,,
Den Jyske Sparekasse A/S,,,,,,,,,,,,,,,,,,,106.70,127.60
Den lille Sparekasse,77.80,0.00,0.00,0.00,15.10,101.90,88.30,23.90,31.80,,,,,,,,,,,
Dexia Bank A/S,19.60,15.10,59.10,72.30,59.90,105.80,114.40,113.90,96.40,1.94,305.00,161.14,144.41,,,,,,,
DiBa Bank A/S,52.90,59.30,58.90,24.00,27.20,41.00,49.80,55.60,85.40,71.00,76.40,45.90,52.10,156.50,,,,,,
Djurslands Bank A/S,70.80,67.50,66.90,71.60,68.40,45.70,57.60,0.00,72.70,73.30,117.10,77.00,71.50,59.10,77.50,61.80,80.10,52.80,118.00,92.30
Dragsholm Sparekasse,24.00,41.70,136.90,55.50,95.10,96.00,91.30,74.50,91.20,24.20,14.70,12.70,11.40,10.80,28.00,54.90,28.00,37.70,98.40,105.84
Dragstrup-Skallerup Sparekasse,63.70,56.10,30.20,55.70,49.52,,,,,,,,,,,,,,,
Dronninglund Sparekasse,71.20,136.90,108.70,78.50,116.80,113.60,159.20,82.30,55.70,50.10,46.80,45.60,79.00,29.40,34.40,55.90,38.20,33.90,104.00,
Durup Sparekasse,72.90,41.80,42.50,25.50,43.70,10.70,,,,,,,,,,,,,,
"Ebeltoft, Andelskassen J.A.K",0.00,42.86,0.00,0.00,0.00,0.00,0.00,0.00,58.40,110.40,127.22,194.23,184.30,,,,,,,
EBH Bank A/S,51.30,52.00,49.80,54.50,31.90,113.70,140.30,172.30,,,,,,,,,,,,
Egnsbank Fyn A/S,84.00,108.10,,,,,,,,,,,,,,,,,,
Eik Bank Danmark A/S,,81.70,142.30,575.60,396.70,580.70,524.00,254.50,242.50,269.00,0.00,,,,,,,,,
Ekspres Bank A/S,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
Facit Bank A/S,,,,,,,,,,,,,,,,,,,,
Fanefjord Sparekasse,59.20,48.20,58.80,32.10,10.70,48.20,40.70,71.70,47.10,53.10,35.90,31.51,,,,,,,,
Fanø Sparekasse,46.70,60.20,43.80,39.40,43.60,42.80,56.20,80.50,51.10,17.70,30.40,24.90,24.90,27.30,18.80,21.40,21.40,0.00,18.67,37.69
"Farsø, Sparekassen",116.80,76.10,80.70,90.60,84.40,100.90,95.50,138.60,105.90,48.50,80.70,118.20,,,,,,,,
Faster Andelskasse,72.00,121.50,54.60,91.50,80.40,73.30,75.20,116.10,72.90,78.20,73.10,86.80,96.60,101.70,84.20,86.70,88.22,120.49,126.24,127.99
FIH Erhvervsbank A/S,,,325.40,335.80,446.30,320.00,275.40,124.40,122.50,47.00,67.10,35.38,73.58,64.00,42.10,36.87,,,,
FIH Kapital Bank A/S,,,,,,,,225.00,132.80,87.00,62.90,11.00,20.74,,,,,,,
Finansbanken A/S,68.40,153.40,225.50,211.20,172.20,286.90,228.90,222.00,259.40,295.30,,,,,,,,,,
Fionia Bank A/S,104.50,284.30,109.30,149.00,61.20,90.90,22.00,40.40,145.30,,,,,,,,,,,
Fjaltring-Trans Sparekasse,331.00,246.70,249.40,288.10,173.70,219.70,311.81,272.34,201.63,217.24,313.90,61.10,0.00,0.00,21.00,58.80,0.00,,,
Fjordbank Mors A/S,59.90,71.30,87.40,75.00,143.90,148.40,76.20,133.10,191.80,247.20,97.50,,,,,,,,,
Flakkebjerg og Omegns Sparekasse,12.70,23.40,46.30,74.90,99.20,75.50,,,,,,,,,,,,,,
