A/S Nørresundby Bank,4.29,4.70,4.70,4.20,4.50,5.10,5.30,5.50,6.00,4.90,4.90,4.50,3.90,3.80,3.40,,,,,
Aarhus Lokalbank Aktieselskab,5.14,5.00,4.10,4.40,4.40,5.20,8.20,10.90,12.00,12.10,27.60,14.00,,,,,,,,
Aars Bank A/S,10.50,,,,,,,,,,,,,,,,,,,
Agri-Egens Sparekasse,4.20,5.30,5.40,3.70,3.00,3.40,3.40,4.00,4.70,5.10,,,,,,,,,,
Aktieselskabet Arbejdernes Landsbank,4.70,4.50,4.30,4.10,4.10,3.50,3.90,4.50,6.10,5.80,5.40,5.40,4.90,4.60,4.30,3.70,3.67,3.21,3.17,3.29
"Alfred Berg SE, Copenhagen Branch",0.40,0.30,0.20,0.10,0.10,,,,,,,,,,,,,,,
Alm. Brand Bank A/S,8.36,9.00,12.30,11.20,10.70,10.40,11.60,13.50,18.10,11.10,8.20,9.60,9.20,5.40,3.00,3.30,2.90,2.90,2.90,3.00
Almind Sparekasse,4.30,4.30,4.60,5.10,5.20,4.90,,,,,,,,,,,,,,
Amagerbanken,9.90,9.00,8.10,6.80,6.50,8.20,9.00,10.70,15.70,12.60,-34.70,,,,,,,,,
Andelskassen Fælleskassen,5.90,6.70,5.80,5.10,4.60,4.40,4.70,5.30,5.30,4.90,4.80,4.50,4.10,4.00,3.70,3.40,3.50,3.62,3.89,3.71
Andelskassen OIKOS,2.00,2.30,2.70,3.20,4.00,4.70,4.30,5.90,7.00,7.00,7.40,7.42,7.00,7.96,8.50,8.30,7.50,6.70,6.78,
Århus Andelskasse,9.00,8.10,8.00,8.20,11.10,,,,,,,,,,,,,,,
ArosMaizels Investment Bank A/S,0.00,,,,,,,,,,,,,,,,,,,
"Arts Herred, Sparekassen for",3.20,3.30,3.30,2.80,2.70,2.00,2.30,3.30,4.20,4.10,3.70,6.80,,,,,,,,
Astrup-Tulstrup-Hvilsted Sparekasse,1.30,1.50,1.50,1.10,0.70,0.70,0.10,,,,,,,,,,,,,
Bank DNB  A/S,,,,,,,1.04,1.50,2.64,2.00,2.20,0.38,,,,,,,,
Bank Trelleborg A/S,3.90,4.00,3.90,4.10,4.50,5.00,6.40,8.80,,,,,,,,,,,,
Basisbank A/S,4.00,4.80,5.50,6.80,6.90,5.10,5.70,9.70,12.10,10.10,13.60,16.70,33.70,19.10,18.10,7.00,6.10,6.00,5.75,4.54
BG Bank A/S,9.50,,,,,,,,,,,,,,,,,,,
