A/S Nørresundby Bank,10.51,1.90,2.60,3.80,3.20,5.90,4.40,17.60,3.40,3.30,5.50,3.70,6.40,3.90,4.10,,,,,
Aarhus Lokalbank Aktieselskab,2.92,27.80,25.70,18.10,15.20,9.90,31.50,20.50,9.10,4.10,2.50,1.40,,,,,,,,
Aars Bank A/S,1.50,,,,,,,,,,,,,,,,,,,
Agri-Egens Sparekasse,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,
Aktieselskabet Arbejdernes Landsbank,18.10,12.60,17.30,9.90,12.50,8.10,8.80,13.40,15.80,6.70,8.10,7.10,3.30,4.50,3.00,1.30,2.35,1.31,2.17,1.54
"Alfred Berg SE, Copenhagen Branch",4.40,3.80,0.60,3.50,4.10,,,,,,,,,,,,,,,
Alm. Brand Bank A/S,2.42,4.60,2.90,4.50,1.70,8.60,36.20,59.70,25.70,1.10,1.50,10.60,1.60,12.50,3.40,13.10,12.50,14.10,1.60,4.40
Almind Sparekasse,0.10,0.00,3.20,1.20,2.00,1.40,,,,,,,,,,,,,,
Amagerbanken,8.00,20.80,2.80,4.80,5.70,3.40,5.80,3.70,4.10,2.50,-7.40,,,,,,,,,
Andelskassen Fælleskassen,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.90,0.10,0.80,1.01,1.31,0.08
Andelskassen OIKOS,6.60,8.09,5.70,9.80,9.40,65.00,47.20,36.80,29.45,39.20,37.00,27.35,26.61,17.90,19.40,10.70,9.80,0.00,2.36,
Århus Andelskasse,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,
ArosMaizels Investment Bank A/S,0.00,,,,,,,,,,,,,,,,,,,
"Arts Herred, Sparekassen for",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.70,0.80,1.20,1.80,,,,,,,,
Astrup-Tulstrup-Hvilsted Sparekasse,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,
Bank DNB  A/S,,,,,,,0.00,84.94,9.61,22.30,8.39,3.28,,,,,,,,
Bank Trelleborg A/S,0.10,0.40,0.40,0.40,0.30,12.60,12.90,155.38,,,,,,,,,,,,
Basisbank A/S,1.10,0.00,0.00,13.90,11.30,39.30,14.20,12.20,8.00,2.50,0.50,7.90,4.10,3.70,0.80,6.00,2.90,0.00,,
BG Bank A/S,2.30,,,,,,,,,,,,,,,,,,,
Boddum-Ydby Sparekasse,0.10,0.10,0.30,0.20,0.80,0.40,1.00,0.60,0.70,0.30,0.30,4.80,,,,,,,,
Bonusbanken A/S,0.63,0.60,0.90,7.30,13.60,24.60,15.00,7.50,,,,,,,,,,,,
Borbjerg Sparekasse,0.50,0.10,0.20,0.40,0.20,0.50,0.11,0.40,0.20,0.20,0.40,0.60,0.30,0.30,0.40,0.30,0.30,0.20,0.26,0.24
"Brenderup, J.A.K. Andelskassen",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,
BRFkredit Bank a/s,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,1.30,0.50,2.10,0.80,0.80,,,,,
Broager Sparekasse,0.50,1.20,0.70,0.70,0.80,0.90,1.30,14.40,19.50,18.00,13.20,13.90,1.40,4.50,3.80,4.70,3.90,3.60,0.46,0.87
Brovst Sparekasse,1.30,0.40,0.60,0.50,1.10,3.50,,,,,,,,,,,,,,
Canto Bank A/S,,,,,,,,,,,,,,,,,,,,
Capinordic Bank A/S,,,,,,0.00,0.36,1.73,0.77,,,,,,,,,,,
Carnegie Bank A/S,135.00,138.20,171.00,62.10,96.30,9.00,7.30,12.40,9.50,13.50,6.20,7.10,11.10,,,,,,,
Coop Bank A/S,,,,,,,,,,,,,,0.00,0.00,0.00,,,,
Danske Andelskassers Bank A/S,9.70,11.80,21.60,7.10,7.80,0.10,0.20,6.80,4.40,7.70,5.30,1.80,4.20,3.50,1.70,0.60,1.60,0.50,1.10,0.60
Danske Bank A/S,4.80,2.70,3.70,8.20,2.20,1.60,0.50,2.10,3.30,2.90,3.70,2.50,2.10,5.90,3.40,1.20,2.00,0.50,1.70,3.80
Den Jyske Sparekasse,0.70,0.60,0.70,0.40,0.30,3.70,4.40,8.20,49.50,1.80,1.70,1.20,2.10,0.60,0.90,0.40,0.23,0.52,,
Den Jyske Sparekasse A/S,,,,,,,,,,,,,,,,,,,0.39,0.46
Den lille Sparekasse,0.00,0.00,0.00,20.30,28.40,41.00,92.60,34.60,31.50,,,,,,,,,,,
Dexia Bank A/S,5.30,0.40,4.40,3.20,6.70,2.00,2.30,1.80,1.58,0.90,1.92,5.72,5.85,,,,,,,
DiBa Bank A/S,2.40,2.50,10.50,4.10,12.00,5.00,1.50,3.20,55.50,32.20,20.50,17.70,5.30,10.80,,,,,,
Djurslands Bank A/S,2.62,2.10,1.30,1.20,1.20,2.50,3.60,4.30,2.20,0.80,1.40,9.20,4.00,4.40,1.90,7.10,7.00,1.10,1.80,0.90
Dragsholm Sparekasse,0.30,0.90,0.80,0.80,0.90,6.60,5.30,5.20,5.20,5.50,5.30,4.20,4.90,0.10,0.20,0.00,0.10,0.10,0.30,0.37
Dragstrup-Skallerup Sparekasse,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,
Dronninglund Sparekasse,0.30,1.20,0.60,0.60,0.70,1.80,1.50,10.90,4.10,4.30,17.70,17.60,1.40,2.50,0.70,0.50,0.70,0.50,0.60,
Durup Sparekasse,0.00,0.00,0.00,0.00,0.00,2.50,,,,,,,,,,,,,,
"Ebeltoft, Andelskassen J.A.K",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,
EBH Bank A/S,1.50,12.80,1.00,1.60,4.00,10.80,13.00,42.20,,,,,,,,,,,,
Egnsbank Fyn A/S,7.82,5.00,,,,,,,,,,,,,,,,,,
Eik Bank Danmark A/S,,5.60,20.30,10.00,11.10,5.50,16.80,6.00,5.30,1.30,0.80,,,,,,,,,
Ekspres Bank A/S,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
Facit Bank A/S,,,,,,,,,,,,,,,,,,,,
Fanefjord Sparekasse,0.70,0.30,0.20,0.50,0.40,0.40,0.50,0.40,0.30,0.50,0.30,0.50,,,,,,,,
Fanø Sparekasse,0.20,1.00,0.80,1.30,1.10,13.10,18.00,13.00,9.80,8.00,8.70,8.00,18.30,17.30,16.50,18.20,19.10,2.70,0.69,0.44
"Farsø, Sparekassen",2.40,1.90,0.70,3.60,2.30,19.70,6.80,56.10,62.80,43.80,11.10,6.40,,,,,,,,
Faster Andelskasse,0.40,0.30,0.40,0.30,0.80,3.60,3.40,4.07,4.10,3.90,4.00,3.60,3.50,3.90,4.00,0.30,0.29,0.38,0.77,0.65
FIH Erhvervsbank A/S,,,25.00,2.57,5.15,3.61,5.88,8.40,14.30,1.10,1.30,0.58,1.35,0.70,0.70,0.64,,,,
FIH Kapital Bank A/S,,,,,,,,1.57,1.10,0.60,1.60,0.50,0.50,,,,,,,
Finansbanken A/S,13.10,6.00,7.20,1.50,2.10,3.10,2.00,2.20,0.60,1.40,,,,,,,,,,
Fionia Bank A/S,5.60,7.70,7.40,8.50,6.30,3.80,7.10,6.50,10.80,,,,,,,,,,,
Fjaltring-Trans Sparekasse,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,
Fjordbank Mors A/S,6.00,8.00,9.20,7.10,17.70,29.10,14.40,6.40,3.70,1.00,8.20,,,,,,,,,
Flakkebjerg og Omegns Sparekasse,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
Flemløse Sparekasse,0.00,1.80,0.00,0.00,0.00,0.00,0.00,0.30,0.30,0.70,0.30,1.40,1.40,1.50,0.90,1.60,1.60,,,
Folkesparekassen,0.00,0.00,0.10,0.30,0.20,0.50,0.30,0.20,0.20,0.30,0.60,0.50,0.80,0.20,0.30,0.20,0.20,0.10,0.34,0.23
Forstædernes Bank A/S,14.30,6.00,5.90,4.30,4.70,10.70,6.10,9.00,5.50,,,,,,,,,,,
Frørup Andelskasse,0.00,0.00,0.10,0.10,0.10,4.60,4.00,4.10,4.70,6.60,2.90,2.70,3.20,3.40,0.50,0.30,0.28,0.20,0.78,0.71
Frøs Sparekasse,0.30,0.50,0.30,1.40,1.60,0.40,5.70,18.90,19.80,19.10,10.50,15.50,4.40,7.20,12.20,23.20,23.00,31.60,23.28,18.52
Frøslev-Mollerup Sparekasse,0.80,0.40,0.60,0.50,0.50,0.70,0.44,0.30,1.40,0.90,3.30,1.20,0.90,0.70,0.80,0.80,0.80,0.93,1.18,1.49
Fruering-Vitved Sparekasse,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,
Funder Fælleskasse Andelskasse,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,
Fuur Sparekasse,0.20,0.20,0.80,10.60,9.60,4.60,,,,,,,,,,,,,,
Fynske Bank A/S,0.60,0.50,9.90,7.80,6.20,6.60,2.20,7.00,1.50,10.00,5.60,6.90,7.60,10.10,9.10,6.70,1.40,6.00,6.10,1.60
Galten Sparekasse,0.00,0.00,0.50,0.30,0.50,0.30,9.30,,,,,,,,,,,,,
"Grønlandsbanken, Aktieselskab",0.60,0.10,0.10,0.10,0.10,0.00,0.00,0.20,0.00,2.40,1.20,3.80,7.20,4.20,3.10,5.60,2.40,1.60,0.50,0.90
Gudme Raaschou Bank A/S,5.10,1.50,1.70,1.80,2.80,1.00,7.80,2.50,-2.40,,,,,,,,,,,
Hals Sparekasse,0.60,0.80,1.50,1.80,1.80,2.90,9.10,7.40,2.80,0.30,0.30,0.30,0.30,0.40,0.50,,,,,
Hårslev Sparekasse,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,
Hassing-Villerslev Sparekasse,0.00,0.00,,,,,,,,,,,,,,,,,,
Helgenæs Sparekasse,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,
Hellevad-Ørum Sparekasse,0.00,0.16,0.40,0.00,0.20,,,,,,,,,,,,,,,
Helligsø-Gettrup Sparekasse,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,
Holstebro Andelskasse J.A.K,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,
Hover Sparekasse,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,
Hunstrup-Østerild Sparekasse,0.00,0.30,0.50,0.40,0.70,0.50,0.50,0.40,0.50,0.60,0.70,2.50,,,,,,,,
HVIDBJERG BANK A/S,,,,,,,,,,,,,,,,,,,,5.81
Hvidbjerg Bank. Aktieselskab,0.30,1.40,1.40,1.40,0.70,1.50,1.40,1.10,1.80,0.70,1.50,9.30,1.40,1.00,2.50,2.00,1.50,3.80,2.72,
Hvidbjerg-Ørum Sparekasse,0.00,63.70,4.30,44.20,0.40,,,,,,,,,,,,,,,
Hvilsager-Lime Sparekasse,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,
J.A.K. Andelskassen Varde,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,
J.A.K. Østfyns Andelskasse,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,
"JAK-Andelskassen, Hjørring",0.00,0.00,,,,,,,,,,,,,,,,,,
Jelling Sparekasse,2.50,0.60,3.30,1.00,8.10,8.20,7.60,,,,,,,,,,,,,
Jelstrup-Lyngby Sparekasse,0.70,,,,,,,,,,,,,,,,,,,
Jerslev Sparekasse,3.40,2.00,1.70,1.10,1.10,1.00,,,,,,,,,,,,,,
Jutlander Bank A/S,5.20,4.60,4.10,11.30,8.60,16.40,65.00,9.10,7.30,5.30,2.80,1.30,1.60,3.40,1.60,0.40,0.60,0.40,0.45,0.17
Jyske Bank A/S,23.20,22.80,17.70,13.40,16.30,19.60,24.10,25.00,8.70,10.50,7.50,6.60,6.30,6.10,4.70,7.30,4.00,5.30,8.60,13.10
Klim Sparekasse,0.90,0.30,0.80,0.50,0.80,0.80,0.50,0.70,0.70,0.70,0.70,0.70,4.00,2.00,1.90,1.30,1.00,0.80,0.93,0.73
Københavns Andelskasse,5.50,4.90,2.80,3.20,1.80,10.90,8.60,2.60,3.80,5.60,1.00,0.00,4.70,-91.10,0.20,4.20,3.60,22.06,,
Kongsted Sparekasse,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.60,5.90,0.20,4.10,6.20,24.30,,,,,,,
Kreditbanken A/S,1.69,2.50,2.20,2.80,4.60,6.20,3.80,0.50,3.30,0.40,1.30,0.70,6.50,6.10,3.40,4.40,3.60,4.50,3.20,1.10
Lægernes Bank A/S,0.00,0.00,0.00,0.00,0.00,0.00,0.70,50.60,1.30,1.40,0.40,1.70,2.90,1.30,2.60,0.00,3.86,5.18,8.46,4.08
Lån & Spar Bank A/S,2.90,4.50,6.10,5.80,4.20,5.80,4.20,7.30,4.20,7.50,7.20,7.90,5.50,7.10,5.80,2.90,1.80,2.60,2.20,3.50
Langå Sparekasse,0.40,0.40,0.50,0.40,0.70,0.60,1.80,1.50,0.70,1.80,3.90,4.10,4.20,2.70,3.80,4.70,2.20,13.10,8.55,4.03
Leasing Fyn Bank A/S,0.00,0.00,3.80,4.50,6.10,6.10,17.40,0.50,11.90,40.20,24.40,11.70,11.60,2.70,2.80,0.00,0.00,0.00,0.00,0.00
"Løgumkloster, Sparekassen",0.40,0.60,0.80,0.60,3.50,2.60,10.90,15.30,22.20,,,,,,,,,,,
