A/S Nørresundby Bank,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.10,0.00,0.00,0.00,0.00,0.00,,,,,
Aarhus Lokalbank Aktieselskab,0.05,0.50,0.50,0.30,0.20,0.10,0.10,0.20,0.20,0.10,1.50,0.00,,,,,,,,
Aars Bank A/S,0.00,,,,,,,,,,,,,,,,,,,
Agri-Egens Sparekasse,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,
Aktieselskabet Arbejdernes Landsbank,0.30,0.30,0.10,0.10,0.20,0.10,0.10,0.10,0.20,0.20,0.10,0.20,0.00,0.10,0.00,0.00,0.01,0.00,0.02,0.01
"Alfred Berg SE, Copenhagen Branch",0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,
Alm. Brand Bank A/S,0.11,0.00,0.00,0.00,0.00,0.00,0.20,0.10,0.20,0.00,0.00,0.10,0.00,0.20,0.00,0.10,0.10,0.10,,0.10
Almind Sparekasse,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
Amagerbanken,0.10,0.00,0.00,0.10,0.10,0.00,0.00,0.00,0.10,0.00,-0.10,,,,,,,,,
Andelskassen Fælleskassen,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Andelskassen OIKOS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,69.20,0.00,0.00,37.80,0.00,26.60,0.00,0.00,0.00,0.00,0.00,,
Århus Andelskasse,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,
ArosMaizels Investment Bank A/S,0.00,,,,,,,,,,,,,,,,,,,
"Arts Herred, Sparekassen for",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,
Astrup-Tulstrup-Hvilsted Sparekasse,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,
Bank DNB  A/S,,,,,,,0.00,84.73,3.58,15.16,7.39,0.01,,,,,,,,
Bank Trelleborg A/S,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,
Basisbank A/S,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
BG Bank A/S,0.10,,,,,,,,,,,,,,,,,,,
